Filename,Genotype,Sex,RegistrationFile,FullRegistrationPath,Quality,Sections,PixelSize,Step,Lens
"SAGA1-1","fru MARCM","M","SAGA1-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGA1-1_01_warp_m0g80c8e1e-1x26r4.list","4","162",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGI4-1","fru MARCM","F","SAGI4-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGI4-1_01_warp_m0g80c8e1e-1x26r4.list","4","187",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGJ12-1","fru MARCM","M","SAGJ12-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGJ12-1_01_warp_m0g80c8e1e-1x26r4.list","4","155",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGJ3-1","fru MARCM","M","SAGJ3-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGJ3-1_01_warp_m0g80c8e1e-1x26r4.list","3","175",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGJ5-1","fru MARCM","M","SAGJ5-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGJ5-1_01_warp_m0g80c8e1e-1x26r4.list","5","165",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGK1-1","fru MARCM","F","SAGK1-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGK1-1_01_warp_m0g80c8e1e-1x26r4.list","5","158",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGK3-1","fru MARCM","F","SAGK3-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGK3-1_01_warp_m0g80c8e1e-1x26r4.list","2","171",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGL2-1","fru MARCM","F","SAGL2-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGL2-1_01_warp_m0g80c8e1e-1x26r4.list","4","158",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGL3-1","fru MARCM","F","SAGL3-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGL3-1_01_warp_m0g80c8e1e-1x26r4.list","5","149",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGL4-1","fru MARCM","F","SAGL4-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGL4-1_01_warp_m0g80c8e1e-1x26r4.list","4","168",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
