"BrainKey","lsmpath","imagestems","Side","UniqueID","CloneNo","Genotype","Sex","CloneName"
"SABA20","SABA20-1.lsm","SABA20-1","L",330,1,"fru MARCM","F","aIP-e"
"SABA20","SABA20-1.lsm","SABA20-1","R",2969,2,"fru MARCM","F","aSP-k"
"SABA20","SABA20-1.lsm","SABA20-1","L",2971,4,"fru MARCM","F","aIP-b"
"SABA20","SABA20-1.lsm","SABA20-1","R",2970,3,"fru MARCM","F","aDT-d"
"SABB4","SABB4-1.lsm","SABB4-1","L",442,2,"fru MARCM","M","pIP-c"
"SABB4","SABB4-1.lsm","SABB4-1","R",443,3,"fru MARCM","M","aSP-a"
"SABB4","SABB4-1.lsm","SABB4-1","L",3494,4,"fru MARCM","M","MB"
"SABB4","SABB4-1.lsm","SABB4-1","R",341,1,"fru MARCM","M","aIP-e"
"SABB5","SABB5-1.lsm","SABB5-1","L",344,1,"fru MARCM","M","aIP-e"
"SABB5","SABB5-1.lsm","SABB5-1","R",2973,3,"fru MARCM","M","aIP-b"
"SABB5","SABB5-1.lsm","SABB5-1","L",2972,2,"fru MARCM","M","aSP-l"
"SABB5","SABB5-1.lsm","SABB5-1","R",2974,4,"fru MARCM","M",NA
"SABC13","SABC13-1.lsm","SABC13-1","L",328,1,"fru MARCM","F","aSP-f"
"SABC13","SABC13-1.lsm","SABC13-1","L",364,2,"fru MARCM","F","aSP-g"
"SABC13","SABC13-1.lsm","SABC13-1","L",377,3,"fru MARCM","F","aDT-d"
"SABC13","SABC13-1.lsm","SABC13-1","R",2975,4,"fru MARCM","F","pIP-i"
"SABC20","SABC20-1.lsm","SABC20-1","R",2978,5,"fru MARCM","F","aIP-g"
"SABC20","SABC20-1.lsm","SABC20-1","R",2977,4,"fru MARCM","F","aSP-l"
"SABC20","SABC20-1.lsm","SABC20-1","L",332,1,"fru MARCM","F","aIP-e"
"SABC20","SABC20-1.lsm","SABC20-1","R",333,2,"fru MARCM","F","aDT-e"
"SABC20","SABC20-1.lsm","SABC20-1","R",3495,6,"fru MARCM","F","MB"
"SABC20","SABC20-1.lsm","SABC20-1","L",2976,3,"fru MARCM","F","pMP-b"
"SABC5","SABC5-1.lsm","SABC5-1","R",3496,5,"fru MARCM","F","MB"
"SABC5","SABC5-1.lsm","SABC5-1","L",2980,2,"fru MARCM","F","aDT-h"
"SABC5","SABC5-1.lsm","SABC5-1","L",2982,4,"fru MARCM","F","aIP-e"
"SABC5","SABC5-1.lsm","SABC5-1","L",2981,3,"fru MARCM","F","pIP-b"
"SABC5","SABC5-1.lsm","SABC5-1","R",2979,1,"fru MARCM","F","MB"
"SABC9","SABC9-1.lsm","SABC9-1","R",325,2,"fru MARCM","F","aIP-e"
"SABC9","SABC9-1.lsm","SABC9-1","L",324,1,"fru MARCM","F","aIP-e"
