Filename,Genotype,Sex,RegistrationFile,FullRegistrationPath,Quality,Sections,PixelSize,Step,Lens
"SAKB33-1","fru Syt MARCM","M","SAKB33-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKB33-1_01_warp_m0g80c8e1e-1x26r4.list","5","156",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKB25-1","fru Syt MARCM","M","SAKB25-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKB25-1_01_warp_m0g80c8e1e-1x26r4.list","4","152",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKB24-1","fru Syt MARCM","M","SAKB24-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKB24-1_01_warp_m0g80c8e1e-1x26r4.list","3","158",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKB21-1","fru Syt MARCM","M","SAKB21-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKB21-1_01_warp_m0g80c8e1e-1x26r4.list","5","149",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKB19-1","fru Syt MARCM","M","SAKB19-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKB19-1_01_warp_m0g80c8e1e-1x26r4.list","3","148",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKB18-1","fru Syt MARCM","M","SAKB18-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKB18-1_01_warp_m0g80c8e1e-1x26r4.list","2","159",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKB17-1","fru Syt MARCM","M","SAKB17-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKB17-1_01_warp_m0g80c8e1e-1x26r4.list","3","163",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKB16-1","fru Syt MARCM","M","SAKB16-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKB16-1_01_warp_m0g80c8e1e-1x26r4.list","5","162",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKB15-1","fru Syt MARCM","M","SAKB15-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKB15-1_01_warp_m0g80c8e1e-1x26r4.list","4","144",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKB14-1","fru Syt MARCM","M","SAKB14-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKB14-1_01_warp_m0g80c8e1e-1x26r4.list","4","167",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKB13-1","fru Syt MARCM","M","SAKB13-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKB13-1_01_warp_m0g80c8e1e-1x26r4.list","5","160",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKB11-1","fru Syt MARCM","M","SAKB11-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKB11-1_01_warp_m0g80c8e1e-1x26r4.list","3","143",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKB10-1","fru Syt MARCM","M","SAKB10-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKB10-1_01_warp_m0g80c8e1e-1x26r4.list","4","162",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKB1-1","fru Syt MARCM","M","SAKB1-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKB1-1_01_warp_m0g80c8e1e-1x26r4.list","3","148",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
